url,Название,Иллюстрации,Метки,Оценка,Число голосов,Наличие,Цена,Цена(скидка),ISBN,Издатель,Автор,Язык,Возрастные ограничения,Рекомендованный возраст,Формат,Страницы,Год издания,Страна происхождения,Рейтинг,Вес (грамм),Описание,Размер (мм),Читательская аудитория,Носитель,Серия
https://shop.relod.ru/catalog-products/eleanor_oliphant_is_completely_fine_debut_bestseller_and_costa_first_novel_book_award_winner_2017/,Eleanor Oliphant is Completely Fine: Debut Bestseller and Costa First Novel Book Award winner 2017,"['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/4af/9780008172145.jpg?1550839434308919', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/6af/9780008172145_0.jpg?155083943443272', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/resize_cache/iblock/4af/115_115_1/9780008172145.jpg?15796449586536', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/resize_cache/iblock/6af/115_115_1/9780008172145_0.jpg?15796449585086']",['Хит'],5,1,В наличии,762,762,9780008172145,Harper Collins (сайт издательства),Honeyman Gail,English,16+,16+,Paperback,400,2018,Соединенное Королевство,3.3,250,"Дебютный бестселлер, победитель премии Costa First Novel Book Award 2017, бестселлер The Sunday Times. «Забавно, трогательно и непредсказуемо», - Джоджо Мойес. Элеанор Олифант знает, как выживать, но не жить. У Элеанор Олифант простая жизнь. Она носит одну и ту же одежду на работу каждый день, ест одно и то же блюдо на ланч и покупает те же две бутылки водки каждые выходные. Один акт доброты может разрушить стены, что Элеанор возвела вокруг себя. Теперь она должна научиться управлять своей жизнью и встретиться с прячущейся по углам тьмой, которую она раньше избегала. Перемены могут быть как хорошими, так и плохими. Но любые перемены к лучшему…правда? Удивительная история об одиночестве и силе доброты. Debut Bestseller and Costa First Novel Book Award winner 2017, The Sunday Times bestseller. ‘Funny, touching and unpredictable’ -Jojo Moyes. Eleanor Oliphant has learned how to survive - but not how to live. Eleanor Oliphant leads a simple life. She wears the same clothes to work every day, eats the same meal deal for lunch every day and buys the same two bottles of vodka to drink every weekend. Eleanor Oliphant is happy. Nothing is missing from her carefully timetabled life. Except, sometimes, everything. One simple act of kindness is about to shatter the walls Eleanor has built around herself. Now she must learn how to navigate the world that everyone else seems to take for granted - while searching for the courage to face the dark corners she’s avoided all her life. Change can be good. Change can be bad. But surely any change is better than… fine? An astonishing story that powerfully depicts the loneliness of life and the simple power of a little kindness.",,,,
https://shop.relod.ru/catalog-products/the-pillars-of-the-earth/,The Pillars of the Earth,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/a27/9781509886067.jpg?158061974030974'],[],3.6,5,В наличии,774,774,9781509886067,Pan Macmillan (сайт издательства),Follett Ken,English,16+,16+,Paperback,1104,2018,Соединенное Королевство,3.28,587,"A spellbinding epic tale of ambition, anarchy, and absolute power set against the sprawling medieval canvas of twelfth-century England, The Pillars of the Earth is Ken Follett's classic historical masterpiece. A MASON WITH A DREAM 1135 and civil war, famine and religious strife abound. With his family on the verge of starvation, mason Tom Builder dreams of the day that he can use his talents to create and build a cathedral like no other. A MONK WITH A BURNING MISSION Philip, prior of Kingsbridge, is resourceful, but with money scarce he knows that for his town to survive it must find a way to thrive, and so he makes the decision to build within it the greatest Gothic cathedral the world has ever known. A WORLD OF HIGH IDEALS AND SAVAGE CRUELTY As Tom and Philip meet so begins an epic tale of ambition, anarchy and absolute power. In a world beset by strife and enemies that would thwart their plans, they will stop at nothing to achieve their ambitions in a struggle between good and evil that will turn church against state, and brother against brother . . . The Pillars of the Earth is the first in The Kingsbridge Novels series, followed by World Without End and A Column of Fire.",178(д) х 111(ш) х 46(в),,,
https://shop.relod.ru/catalog-products/zorro/,Zorro,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/6aa/6aa1f5e8cd7b911361ab477fbc080cfd.jpg?152931678319304'],"['Sale', 'ПТВ']",3.67,6,В наличии,182,146,9780007201983,Harper Collins (сайт издательства),Allende Isabel,English,16+,16+,Paperback,400,2006,Соединенное Королевство,3.33,288,"Bestselling author Isabel Allende's first adult novel since 'Portrait in Sepia' - beautiful, disturbing and atmospheric. Beneath the mask, there is a man. And in his heart burns the fire of injustice ...Duels at dawn, fierce battles with pirates and impossible rescues - these are the deeds that forged the legend of Zorro. But where did the man begin? Southern California, late 18th century: Diego de la Vega is a child of two worlds, his father an aristocratic Spaniard, his mother a Shoshone warrior. Growing up he witnesses the brutual injustices dealt to Native Americans. Later, following the example of his fencing master, the young Diego joins a secret movement devoted to helping the powerless. His first steps on the road to heroism have been taken. But a great rival will emerge from the ranks of the cruel oppressors. How will Zorro defeat him? And will his childhood sweetheart Isabel claim the prize she so longs for - his true love?",198(д) х 129(ш) х 27(в),General (US: Trade),,
https://shop.relod.ru/catalog-products/bleach-vol-74/,"Bleach, Vol. 74",['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/159/9781421596020.jpg?157434309722728'],[],4,1,Под заказ,976,976,9781421596020,Viz Media (сайт издательства),Tite Kubo,English,16+,16+,Paperback,232,2018,США,3.2,220,"Part-time student, full-time Soul Reaper, Ichigo is one of the chosen few guardians of the afterlife. Ichigo Kurosaki never asked for the ability to see ghosts-he was born with the gift. When his family is attacked by a Hollow-a malevolent lost soul-Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo's Bleach has become an international manga smash-hit! The final battle against Yhwach gets under way as Ichigo and his allies reach the Quincy King's throne room. Can Ichigo put an end to the thousand-year war between the Soul Reapers and Quincies? The conclusion of Bleach is here!",191(д) х 127(ш) х 18(в),,,
https://shop.relod.ru/catalog-products/the_casual_vacancy_9780751552867/,The Casual Vacancy,"['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/375/9780751552867.jpg?1551094056111652', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/8ce/9780751552867_0.jpg?155109405641832', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/resize_cache/iblock/375/115_115_1/9780751552867.jpg?15712815177674', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/resize_cache/iblock/8ce/115_115_1/9780751552867_0.jpg?15712815185241']",[],5,1,В наличии,892,892,9780751552867,Sphere (сайт издательства),Rowling J.K.,English,16+,16+,Paperback,576,2013,Соединенное Королевство,3.3,398,"Когда Барри Фэйрбразер умирает в начале сороковых, город Пагфорд в ужасе. Пагфорд, казалось бы, является английской идиллией, с мощеной рыночной площадью и древним аббатством, но то, что кроется за красивым фасадом - город в состоянии войны. Богатые воюют с беднотой, подростки воюют с родителями, жены со своими мужьями, учителями воюют с учениками... Пагфорд - это не такой каким кажется вначале. И пустое место, оставленное Барри в приходском совете, вскоре становится катализатором самой большой войны, какой этот город еще не видал. Кто победит на выборах, окрашенных страстью, двуличностью и неожиданными откровениями? Большой роман о маленьком городке, The Casual Vacancy - первый роман Роулинг для взрослых. Это произведение сказочника, такого как никто другой. When Barry Fairbrother dies in his early forties, the town of Pagford is left in shock. Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty facade is a town at war. Rich at war with poor, teenagers at war with their parents, wives at war with their husbands, teachers at war with their pupils...Pagford is not what it first seems. And the empty seat left by Barry on the parish council soon becomes the catalyst for the biggest war the town has yet seen. Who will triumph in an election fraught with passion, duplicity and unexpected revelations? A big novel about a small town, The Casual Vacancy is J.K. Rowling's first novel for adults. It is the work of a storyteller like no other.",198(д) х 153(ш) х 38(в),,,
https://shop.relod.ru/catalog-products/the_fellowship_of_the_ring/,The Fellowship of the Ring,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/f88/f880a768b7479083ae7c9b9572ce18e9.jpg?152812909520626'],[],3.33,3,Под заказ,1113,1113,9780007488315,Harper Collins (сайт издательства),Tolkien J.R.R.,English,16+,16+,Paperback,448,2012,,3.17,310,"Continuing the story begun in The Hobbit, this is the first part of Tolkien's epic masterpiece, The Lord of the Rings, featuring an exclusive cover image from the film, the definitive text, and a detailed map of Middle-earth. Sauron, the Dark Lord, has gathered to him all the Rings of Power - the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring - the ring that rules them all - which has fallen into the hands of the hobbit, Bilbo Baggins. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose. To celebrate the release of the first of Peter Jackson's two-part film adaptation of The Hobbit, THE HOBBIT: AN UNEXPECTED JOURNEY, this first part of The Lord of the Rings is available for a limited time with an exclusive cover image from Peter Jackson's award-winning trilogy.",198(д) х 129(ш) х 29(в),,,
https://shop.relod.ru/catalog-products/tess_of_the_d_urbervilles/,Tess of the D'Urbervilles,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/912/91279914aef4a87d0195075b22464001.jpg?153117245234754'],[],5,1,В наличии,1451,1451,9780141040332,Penguin (сайт издательства),Hardy Thomas,English,16+,16+,Hardback,592,2008,Соединенное Королевство,3.3,714,"Part of Penguin's beautiful hardback Clothbound Classics series, designed by the award-winning Coralie Bickford-Smith, these delectable and collectible editions are bound in high-quality colourful, tactile cloth with foil stamped into the design. When Tess Durbeyfield is driven by family poverty to claim kinship with the wealthy D'Urbervilles and seek a portion of their family fortune, meeting her 'cousin' Alec proves to be her downfall. A very different man, Angel Clare, seems to offer her love and salvation, but Tess must choose whether to reveal her past or remain silent in the hope of a peaceful future. With its sensitive depiction of the wronged Tess and powerful criticism of social convention, Tess of the D'Urbervilles is one of the most moving and poetic of Hardy's novels.",204(д) х 138(ш) х 50(в),,Book,
https://shop.relod.ru/catalog-products/tokyo-ghoul-re-vol-9/,"Tokyo Ghoul: re, Vol. 9",['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/bc1/9781421598246.jpg?157434374827152'],[],4,1,Под заказ,1267,1267,9781421598246,Viz Media (сайт издательства),,English,16+,16+,Paperback,248,2019,США,3.2,268,"In the world of Tokyo Ghoul, sometimes the only way to fight monsters is to become one... The Commission of Counter Ghoul is the only organization fighting the Ghoul menace, and they will use every tool at their disposal to protect humanity from its ultimate predator. Their newest weapon in this hidden war is an experimental procedure that implants human investigators with a Ghoul's Kagune, giving them Ghoul powers and abilities. But both the procedure and the newly formed Qs Squad are untested. Will they become heroes...or monsters?! The Rushima Operation is reaching its sixth day, and both the CCG and the Ghouls are fighting at the edge of their limits. Under the extreme mental and physical stress, old allegiances loom large and both sides are finding they face tough choices on the battlefield. Whichever side wins, they've all lost too much...",210(д) х 146(ш) х 18(в),,,
https://shop.relod.ru/catalog-products/the_essential_tales_of_chekhov/,The Essential Tales of Chekhov,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/0ed/0edbdec7064247109aa865875bd04018.jpg?152931849723195'],[],5,1,В наличии,969,969,9781862073005,Granta (сайт издательства),Chekhov Anton,English,16+,16+,Paperback,368,1999,Соединенное Королевство,3.3,278,"In this collection of 20 short stories, the editor Richard Ford has selected his personal favourites of Chekhov's work. Includes are The Kiss, The Darling, as well as lesser known tales such as A Blunder, Hush and Champagne.",198(д) х 129(ш) х 26(в),,,
https://shop.relod.ru/catalog-products/glory/, Glory,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/522/9780140113877.jpg?159220764915162'],"['Sale', 'ПТВ']",3,1,В наличии,221,177,9780140113877,Penguin (сайт издательства),Nabokov Vladimir,English,16+,16+,Paperback,192,1990,Соединенное Королевство,3.11,80,"A novel by the author of ""Mary"", ""The Eye"", ""The Real Life of Sebastian Knight"", ""Transparent Things"" and ""Lolita"".",198(д) х 129(ш) х 12(в),General (US: Trade),Book,Penguin Modern Classics
